alt_identifier,k8_cn,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal
CR053,Mixed Immune,0.10699588477366255,0.19176954732510287,0.0345679012345679,0.06502057613168724,0.2814814814814815,0.10699588477366255,0.006584362139917695,0.02139917695473251,0.01646090534979424,0.16872427983539096
CR053,NK-cell enriched,0.025896414342629483,0.053784860557768925,0.026892430278884463,0.14940239043824702,0.06573705179282868,0.4452191235059761,0.00796812749003984,0.017928286852589643,0.052788844621513946,0.15438247011952191
CR053,P53+ Tumor,0,0,0.05263157894736842,0.3157894736842105,0,0.05263157894736842,0.3157894736842105,0,0.2631578947368421,0
CR053,Proliferative Tumor,0.005178190679256778,0.007310386841303686,0.009747182455071581,0.28510508681084373,0.013402375875723424,0.05147730734084679,0.017971367651538228,0.015839171489491318,0.5415778251599147,0.05239110569600975
CR053,Stromal,0.02147239263803681,0.05828220858895705,0.012269938650306749,0.006134969325153374,0.02147239263803681,0.046012269938650305,0,0.012269938650306749,0,0.8220858895705522
CR054,Bulk Tumor,0.002840909090909091,0.0022727272727272726,0.010511363636363636,0.7423295454545454,0.025852272727272727,0.020738636363636365,0.022727272727272728,0.0017045454545454545,0.1380681818181818,0.03295454545454545
CR054,CD8+ T cell enriched,0.026690391459074734,0.1494661921708185,0.4608540925266904,0.026690391459074734,0.06761565836298933,0.08362989323843416,0.0071174377224199285,0.0071174377224199285,0.005338078291814947,0.16548042704626334
CR054,Immune-enriched stromal,0.03117063033941353,0.06580466404987301,0.0641884091433849,0.08889401985684599,0.08797044562456707,0.07896559685984761,0.011775571461556222,0.01916416531978758,0.024474717155391363,0.5275917801893327
CR054,Mixed Immune,0.02045877247365158,0.11097334159950403,0.06013639181649101,0.06261624302541847,0.4513329200247985,0.07563546187228766,0.009919404835709857,0.03967761934283943,0.0049597024178549285,0.1642901425914445
CR054,NK-cell enriched,0.01567398119122257,0.05642633228840126,0.061128526645768025,0.06896551724137931,0.09404388714733543,0.4843260188087774,0.01567398119122257,0.0109717868338558,0.014106583072100314,0.1786833855799373
CR054,P53+ Tumor,0,0,0,0.5454545454545454,0,0,0.36363636363636365,0,0.09090909090909091,0
CR054,Proliferative Tumor,0.0020802377414561664,0.001188707280832095,0.007429420505200594,0.2888558692421991,0.009212481426448737,0.011589895988112928,0.025557206537890044,0.005349182763744428,0.6160475482912333,0.03268945022288262
CR054,Stromal,0.009523809523809525,0.03197278911564626,0.01989795918367347,0.01445578231292517,0.014965986394557823,0.024319727891156464,0.00935374149659864,0.00816326530612245,0.0010204081632653062,0.8663265306122448
CR055,Bulk Tumor,0.002,0.0072,0.0268,0.7636,0.0044,0.0948,0.0372,0,0.0488,0.0152
CR055,CD8+ T cell enriched,0.033860045146726865,0.11738148984198646,0.4706546275395034,0.016930022573363433,0.1252821670428894,0.11738148984198646,0.006772009029345372,0.007900677200902935,0,0.1038374717832957
CR055,Immune-enriched stromal,0.027340129749768304,0.06765523632993513,0.07089898053753475,0.025949953660797033,0.10009267840593142,0.1556997219647822,0.006487488415199258,0,0,0.5458758109360519
CR055,Mixed Immune,0.03815261044176707,0.16207687894434883,0.08204245553643144,0.020654044750430294,0.42570281124497994,0.09064830751577739,0.006597819850831899,0.006597819850831899,2.8686173264486515e-4,0.1672403901319564
CR055,NK-cell enriched,0.01117798796216681,0.04488392089423904,0.06414445399828031,0.069131556319862425,0.06208082545141874,0.6144453998280309,0.010662080825451418,1.7196904557179707e-4,0.005331040412725709,0.1179707652622528
CR055,P53+ Tumor,0,0,0,0.2765957446808511,0,0.1276595744680851,0.46808510638297873,0,0.10638297872340426,0.02127659574468085
CR055,Proliferative Tumor,0,0.006872852233676976,0.030927835051546393,0.3230240549828179,0,0.07216494845360824,0.027491408934707903,0,0.5326460481099656,0.006872852233676976
CR055,Stromal,0.024943310657596373,0.027210884353741496,0.017006802721088437,0.005668934240362812,0.046485260770975055,0.06575963718820861,0.0045351473922902496,0,0,0.808390022675737
CR056,Bulk Tumor,0.006031613976705491,0.0037437603993344427,0.01019134775374376,0.6955074875207987,0.016638935108153077,0.024334442595673876,0.012063227953410981,0.003535773710482529,0.14538269550748753,0.08257071547420965
CR056,CD8+ T cell enriched,0.03501945525291829,0.12062256809338522,0.5291828793774319,0.042801556420233464,0.058365758754863814,0.01556420233463035,0.007782101167315175,0.007782101167315175,0.04669260700389105,0.13618677042801555
CR056,Immune-enriched stromal,0.023663453111305872,0.021618463336254747,0.04265264387963774,0.12620508326029797,0.10049664037394099,0.02337131171487,0.009348524685947998,0.01782062518258837,0.04586619924043237,0.588957055214724
CR056,Mixed Immune,0.05330700888450148,0.0700888450148075,0.06811451135241856,0.045409674234945706,0.4817374136229023,0.04244817374136229,0.004935834155972359,0.01678183613030602,0.019743336623889437,0.19743336623889438
CR056,NK-cell enriched,0.029411764705882353,0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.35294117647058826,0,0.058823529411764705,0,0.20588235294117646
CR056,P53+ Tumor,0,0,0,0,0,0,1,0,0,0
CR056,Proliferative Tumor,0.006916825177243645,0.003631333218052914,0.017983745460833478,0.2624935154763963,0.016427459795953656,0.02109631679059312,0.005879301400657099,0.01850250734912675,0.5773819816704133,0.06968701366072973
CR056,Stromal,0.02097130242825607,0.01582045621780721,0.01582045621780721,0.011037527593818985,0.0504047093451067,0.01545253863134658,0.005886681383370125,0.0033112582781456954,0.006254598969830758,0.8550404709345106
CR057,Bulk Tumor,0,0,0.006224066390041493,0.7372060857538036,0.009681881051175657,0.020055325034578148,0.13416320885200553,6.915629322268327e-4,0.058091286307053944,0.0338865836791148
CR057,CD8+ T cell enriched,0.041223404255319146,0.03324468085106383,0.5478723404255319,0.03324468085106383,0.08643617021276596,0.2047872340425532,0.0026595744680851063,0,0,0.05053191489361702
